variables= "x","y","z"
zone t= "1",i=21,j=21
0.85 0.332168 1.24406
0.848934 0.396961 1.26472
0.841543 0.460223 1.27937
0.822668 0.520624 1.28305
0.791076 0.572521 1.2728
0.765752 0.613051 1.25392
0.761211 0.656278 1.22108
0.765415 0.715994 1.17626
0.764961 0.797805 1.14306
0.759337 0.89703 1.13371
0.75 0.875 1.125
